date,close,open
1-May-12,58.13,218.37
30-Apr-12,53.98,217.48
27-Apr-12,67,418.13
26-Apr-12,89.7,618.83
25-Apr-12,99,17.88
24-Apr-12,130.28,17.93
23-Apr-12,166.7,18.33
20-Apr-12,1234.98,17.06
19-Apr-12,345.44,717.14
18-Apr-12,443.34,16.96
17-Apr-12,543.7,16.9
16-Apr-12,580.13,716.25
13-Apr-12,605.23,16.65
12-Apr-12,622.77,17.01
11-Apr-12,626.2,17.11
10-Apr-12,628.44,16.48
9-Apr-12,636.23,15.15
5-Apr-12,633.68,15.28
4-Apr-12,624.31,15.27
3-Apr-12,629.32,16.12
2-Apr-12,618.63,1115.88
30-Mar-12,599.55,15.79
29-Mar-12,609.86,16.15
28-Mar-12,617.62,16.42
27-Mar-12,614.48,16.96
26-Mar-12,606.98,17.17
